District,Year,Rain_Jan,Rain_Feb,Rain_Mar,Rain_Apr,Rain_May,Rain_Jun,Rain_Jul,Rain_Aug,Rain_Sep,Rain_Oct,Rain_Nov,Rain_Dec,Temp_Jan,Temp_Feb,Temp_Mar,Temp_Apr,Temp_May,Temp_Jun,Temp_Jul,Temp_Aug,Temp_Sep,Temp_Oct,Temp_Nov,Temp_Dec,VP_Jan,VP_Feb,VP_Mar,VP_Apr,VP_May,VP_Jun,VP_Jul,VP_Aug,VP_Sep,VP_Oct,VP_Nov,VP_Dec,Low_Copper,Medium_copper,High_copper,Low_Boron,Medium_boron,High_boron,Normal_EC,Critical for salt sensitive crop_EC,Critical for salt tolerant_EC,Injurious to all_EC,Low_Fe,Medium_Fe,High_Fe,Low_Mn,Medium_Mn,High_Mn,Low_N,Medium_N,High_N,Low_C,Medium_C,High_C,Acidic,Normal,Alkaline,Highly Alkaline,Low_P,Medium_P,High_P,Low_K,Medium_K,High_K,Low_S,Medium_S,High_S,Low_Zn,Medium_Zn,High_Zn,Area,Production,Yield,Latitude,Longitude
Amritsar,1968,25.55,22.654,9.441,3.08,5.784,28.05,123.044,166.489,13.201,7.633,0,5.329,12.706,14.7,22.124,28.294,32.103,35.971,32.862,32.414,32.423,25.918,20.721,15.679,8.928,9.329,12.195,13.664,15.603,23.314,30.181,30.552,25.573,16.84,12.388,10.155,0,3,97,0,100,0,100,0,0,0,1,24,75,5,95,0,100,0,0,0,100,0,0,100,0,0,0,0,100,0,98,2,0,44,56,0,96,4,177,278,1570,31.634,74.8723
Amritsar,1969,7.326,8.259,18.133,16.161,18.819,20.919,192.023,99.627,118.523,0.885,0.585,0,14.082,17.1,24.824,28.348,31.695,36.542,33.542,32.847,31.067,28.177,21.648,16.001,9.043,10.01,13.592,13.804,15.912,23.31,30.338,31.083,26.274,18.023,12.639,10.05,0,3,97,0,100,0,100,0,0,0,1,24,75,5,95,0,100,0,0,0,100,0,0,100,0,0,0,0,100,0,98,2,0,44,56,0,96,4,214,501,2342,31.634,74.8723
Amritsar,1970,21.112,19.301,17.347,0.427,19.214,51.602,59.335,168.687,45.085,3.177,0,0,14.378,16.597,22.229,29.692,34.497,34.288,34.472,32.168,31.268,28.049,19.898,15.65,9.207,9.888,12.097,14.642,16.709,21.991,29.278,30.812,25.75,16.708,11.957,10.084,0,3,97,0,100,0,100,0,0,0,1,24,75,5,95,0,100,0,0,0,100,0,0,100,0,0,0,0,100,0,98,2,0,44,56,0,96,4,226,606,2680,31.634,74.8723
Amritsar,1971,5.95,13.32,5.954,15.73,31.289,64.839,151.622,268.577,55.78,8.925,5.003,0,12.883,17.198,22.301,29.603,32.425,34.268,32.144,31.046,29.678,26.932,20.529,16.278,8.665,9.922,12.293,14.501,15.903,22.318,29.82,31.668,25.44,16.185,12.337,10,0,3,97,0,100,0,100,0,0,0,1,24,75,5,95,0,100,0,0,0,100,0,0,100,0,0,0,0,100,0,98,2,0,44,56,0,96,4,242,563,2326,31.634,74.8723
Amritsar,1972,8.053,15.021,5.274,6.788,0.505,16.619,138.495,136.217,111.541,7.735,9.176,5.606,14.308,14.455,22.726,27.128,32.661,35.333,33.508,31.35,30.445,26.143,21.074,15.505,9.196,8.798,12.634,12.741,16.148,22.947,29.845,30.047,25.037,16.795,12.498,10.098,0,3,97,0,100,0,100,0,0,0,1,24,75,5,95,0,100,0,0,0,100,0,0,100,0,0,0,0,100,0,98,2,0,44,56,0,96,4,228,654,2749,31.634,74.8723
Amritsar,1973,15.884,13.456,9.886,0.82,14.928,37.032,123.026,212.153,73.114,6.413,0,9.485,13.761,18.108,21.447,29.898,33.774,36.197,32.678,29.983,31.232,25.736,19.717,13.482,8.692,9.946,12.097,14.989,16.611,22.637,30.298,31.04,25.93,16.744,12.044,9.457,0,3,97,0,100,0,100,0,0,0,1,24,75,5,95,0,100,0,0,0,100,0,0,100,0,0,0,0,100,0,98,2,0,44,56,0,96,4,248,545,2198,31.634,74.8723
Amritsar,1974,5.426,6.417,2.895,1.005,9.529,23.119,186.212,77.88,7.032,1.383,0,8.048,12.984,14.596,23.258,30.032,32.648,33.276,31.811,32.307,31.505,26.04,19.693,13.625,8.693,9.339,12.739,14.743,16.045,22.344,29.48,29.679,25.737,16.79,12.039,9.399,0,3,97,0,100,0,100,0,0,0,1,24,75,5,95,0,100,0,0,0,100,0,0,100,0,0,0,0,100,0,98,2,0,44,56,0,96,4,246,504,2051,31.634,74.8723
Amritsar,1975,22.977,19.721,17.087,2.31,1.203,91.871,221.747,144.857,158.668,3.075,0,0,12.815,15.102,20.901,28.003,32.831,34.074,31.133,31.195,29.295,27.833,19.101,15.925,8.226,9.461,11.835,14.356,16.289,21.239,29.086,30.506,24.399,16.473,11.615,9.898,0,3,97,0,100,0,100,0,0,0,1,24,75,5,95,0,100,0,0,0,100,0,0,100,0,0,0,0,100,0,98,2,0,44,56,0,96,4,246,560,2276,31.634,74.8723
Amritsar,1976,9.718,25.751,12.587,10.167,18.259,55.236,174.073,421.302,112.712,7.858,0,0.249,13.653,16.497,20.092,27.519,33.067,33.488,32.774,29.619,29.796,27.074,20.357,14.981,9.057,9.86,12,13.247,15.744,21.523,29.682,29.44,24.561,17.013,12.405,9.857,0,3,97,0,100,0,100,0,0,0,1,24,75,5,95,0,100,0,0,0,100,0,0,100,0,0,0,0,100,0,98,2,0,44,56,0,96,4,255,618,2424,31.634,74.8723
Amritsar,1977,22.459,0.874,1.222,26.652,36.966,73.858,190.869,124.402,56.866,14.665,0.691,7.066,13.35,16.65,23.731,27.67,30.268,33.185,31.22,31.488,28.998,26.628,22.608,15.975,9.133,9.724,12.557,13.867,15.164,22.14,28.294,30.552,24.35,17.244,12.999,10.059,0,3,97,0,100,0,100,0,0,0,1,24,75,5,95,0,100,0,0,0,100,0,0,100,0,0,0,0,100,0,98,2,0,44,56,0,96,4,271,676,2493,31.634,74.8723
